,date,fremont_bridge_nb,fremont_bridge_sb
511,2016-09-14 02:00:00,0,4
512,2016-03-15 07:00:00,195,57
513,2014-09-08 00:00:00,2,9
514,2014-01-13 03:00:00,3,1
515,2013-12-02 17:00:00,98,240
516,2013-01-03 12:00:00,33,24
517,2014-07-11 19:00:00,74,104
518,2016-10-20 08:00:00,169,115
519,2014-04-04 23:00:00,13,19
520,2013-08-14 10:00:00,74,73
521,2013-09-19 07:00:00,253,92
522,2017-04-08 06:00:00,3,5
523,2015-04-29 18:00:00,146,239
524,2015-01-29 06:00:00,62,28
525,2017-01-11 02:00:00,0,0
526,2016-08-04 06:00:00,115,59
527,2017-04-18 11:00:00,21,36
528,2015-07-05 22:00:00,15,16
529,2013-01-06 18:00:00,9,22
530,2016-05-15 22:00:00,6,14
531,2016-11-04 14:00:00,67,56
532,2013-02-10 21:00:00,7,9
533,2017-02-16 00:00:00,0,1
534,2017-02-08 11:00:00,10,14
535,2013-06-08 05:00:00,3,2
536,2016-04-14 14:00:00,46,41
537,2016-03-06 20:00:00,10,8
538,2013-07-25 02:00:00,2,1
539,2012-11-11 17:00:00,7,20
540,2013-07-08 10:00:00,75,33
541,2013-09-09 00:00:00,7,7
542,2016-01-01 19:00:00,6,6
543,2016-09-28 14:00:00,60,80
544,2017-01-16 03:00:00,0,0
545,2013-03-24 15:00:00,70,46
546,2015-08-06 14:00:00,52,53
547,2013-11-17 06:00:00,2,6
548,2014-10-15 19:00:00,42,88
549,2017-01-18 02:00:00,0,0
550,2014-08-07 17:00:00,225,472
551,2013-10-30 17:00:00,142,312
552,2016-10-19 19:00:00,52,79
553,2016-10-27 10:00:00,50,46
554,2014-08-28 07:00:00,314,112
555,2016-09-04 18:00:00,61,40
556,2017-05-31 10:00:00,58,53
557,2016-11-14 20:00:00,28,61
558,2014-03-01 16:00:00,35,37
559,2015-01-10 12:00:00,39,43
560,2016-06-05 14:00:00,116,103
561,2013-10-17 23:00:00,13,15
562,2014-09-25 10:00:00,64,32
563,2017-05-15 21:00:00,8,24
564,2017-04-09 11:00:00,97,76
565,2014-04-15 21:00:00,39,27
566,2017-01-03 03:00:00,0,0
567,2015-02-20 11:00:00,0,39
568,2015-03-08 09:00:00,14,33
569,2016-01-25 12:00:00,34,16
570,2017-04-23 19:00:00,9,13
571,2014-02-03 19:00:00,29,84
572,2015-05-16 09:00:00,44,47
573,2014-08-26 03:00:00,2,1
574,2017-02-21 01:00:00,0,2
575,2016-09-07 20:00:00,28,48
576,2013-01-30 13:00:00,20,11
577,2015-12-17 11:00:00,14,6
578,2015-11-08 04:00:00,0,0
579,2016-12-11 09:00:00,10,12
580,2014-02-11 13:00:00,32,31
581,2013-07-05 23:00:00,18,18
582,2013-04-23 19:00:00,96,153
583,2015-10-21 19:00:00,52,84
584,2016-04-12 00:00:00,3,5
585,2013-06-23 23:00:00,0,7
586,2015-10-13 17:00:00,159,410
587,2015-04-13 19:00:00,28,63
588,2015-07-15 13:00:00,44,53
589,2016-05-22 23:00:00,4,9
590,2014-01-31 04:00:00,2,1
591,2014-07-12 14:00:00,89,53
592,2014-09-25 20:00:00,32,41
593,2016-05-12 10:00:00,82,52
594,2017-05-18 21:00:00,38,44
595,2014-05-05 09:00:00,148,84
596,2013-10-06 23:00:00,7,17
597,2012-10-08 11:00:00,55,44
598,2013-10-12 15:00:00,55,61
599,2015-11-17 19:00:00,18,52
600,2014-01-25 11:00:00,54,40
601,2012-12-11 00:00:00,4,8
602,2015-06-11 21:00:00,58,61
603,2013-12-05 13:00:00,28,27
604,2012-11-06 05:00:00,18,9
605,2015-06-26 20:00:00,39,56
606,2013-04-14 18:00:00,58,46
607,2013-06-12 18:00:00,197,317
608,2016-05-19 14:00:00,31,56
609,2015-06-17 04:00:00,4,2
610,2014-05-29 23:00:00,11,20
611,2017-01-22 06:00:00,2,0
612,2013-04-10 09:00:00,81,36
613,2013-07-31 09:00:00,194,125
614,2016-04-20 03:00:00,3,1
615,2014-07-03 07:00:00,247,110
616,2014-10-10 09:00:00,172,24
617,2015-08-15 07:00:00,16,15
618,2013-08-26 14:00:00,59,61
619,2015-11-10 01:00:00,0,0
